date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:44	161012/161012	---M-Z	200	added ('OK')	text/html	etag:%22274f4-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/index.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/index.html	(from )
16:37:44	239/239	---M--	302	error ('Found')	text/html	date:Sun,%2015%20Jan%202023%2008:37:44%20GMT	https://finlab.dexignzone.com/robots.txt		(from )
16:37:45	326/326	---M--	200	added ('OK')	image/png	etag:%22146-5e5c78220e600%22	https://finlab.dexignzone.com/xhtml/images/favicon.png	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/favicon.png	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:46	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-5dc95c7cea600-gzip%22	https://finlab.dexignzone.com/xhtml/vendor/wow-master/css/libs/animate.css	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/vendor/wow-master/css/libs/animate.css	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:46	173655/173655	---M--	200	added ('OK')	image/png	etag:%222a657-5e8b170084980%22	https://finlab.dexignlab.com/xhtml/social-image.png	C:/My%20Web%20Sites/Finlab/finlab.dexignlab.com/xhtml/social-image.png	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:46	11120/11120	---M-Z	200	added ('OK')	text/css	etag:%222b70-5a3845e615180-gzip%22	https://finlab.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:46	10294/10294	---M-Z	200	added ('OK')	text/css	etag:%222836-5a7489a6ef480-gzip%22	https://finlab.dexignzone.com/xhtml/vendor/bootstrap-select-country/css/bootstrap-select-country.min.css	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/vendor/bootstrap-select-country/css/bootstrap-select-country.min.css	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:46	4048/4048	---M-Z	200	added ('OK')	text/css	etag:%22fd0-5c3d77112dd80-gzip%22	https://finlab.dexignzone.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:47	15731/15731	---M-Z	200	added ('OK')	text/css	etag:%223d73-589521a974c80-gzip%22	https://finlab.dexignzone.com/xhtml/vendor/datepicker/css/bootstrap-datepicker.min.css	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/vendor/datepicker/css/bootstrap-datepicker.min.css	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:47	13920/13920	---M-Z	200	added ('OK')	text/css	etag:%223660-1c5fc537f6900-gzip%22	https://finlab.dexignzone.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:47	22672/22672	---M--	200	added ('OK')	image/jpeg	etag:%225890-5dc2112438680%22	https://finlab.dexignzone.com/xhtml/images/avatar/1.jpg	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/avatar/1.jpg	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:48	1051613/1051613	---MCZ	200	added ('OK')	text/css	etag:%22100bdd-5e8c77ba37880-gzip%22	https://finlab.dexignzone.com/xhtml/css/style.css	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/css/style.css	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:48	22692/22692	---M--	200	added ('OK')	image/jpeg	etag:%2258a4-5dc2118f08280%22	https://finlab.dexignzone.com/xhtml/images/avatar/2.jpg	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/avatar/2.jpg	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:48	20508/20508	---M--	200	added ('OK')	image/jpeg	etag:%22501c-5dc211c470080%22	https://finlab.dexignzone.com/xhtml/images/avatar/3.jpg	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/avatar/3.jpg	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:48	23159/23159	---M--	200	added ('OK')	image/jpeg	etag:%225a77-5dc211e8ad600%22	https://finlab.dexignzone.com/xhtml/images/avatar/4.jpg	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/avatar/4.jpg	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:49	21261/21261	---M--	200	added ('OK')	image/jpeg	etag:%22530d-5dc2120731e00%22	https://finlab.dexignzone.com/xhtml/images/avatar/5.jpg	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/avatar/5.jpg	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:49	92116/92116	---MCZ	200	added ('OK')	image/svg+xml	etag:%22167d4-5e694607e6e00-gzip%22	https://finlab.dexignzone.com/xhtml/images/svg/albania.svg	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/svg/albania.svg	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:49	60640/60640	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ece0-5e6946e156f00-gzip%22	https://finlab.dexignzone.com/xhtml/images/svg/usflag.svg	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/svg/usflag.svg	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:49	71580/71580	---MCZ	200	added ('OK')	image/svg+xml	etag:%221179c-5e69468b82480-gzip%22	https://finlab.dexignzone.com/xhtml/images/svg/algeria.svg	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/svg/algeria.svg	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:50	56056/56056	---M-Z	200	added ('OK')	image/svg+xml	etag:%22daf8-5e69485afea00-gzip%22	https://finlab.dexignzone.com/xhtml/images/svg/rus.svg	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/svg/rus.svg	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:50	65958/65958	---M--	200	added ('OK')	image/jpeg	etag:%22101a6-5e78400e10700%22	https://finlab.dexignzone.com/xhtml/images/user.jpg	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/images/user.jpg	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:50	104395/104395	---M-Z	200	added ('OK')	text/html	etag:%22197cb-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/app-profile.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/app-profile.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:50	92257/92257	---M-Z	200	added ('OK')	text/html	etag:%2216861-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/chat.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/chat.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:51	530948/530948	---M-Z	200	added ('OK')	text/html	etag:%2281a04-5e8c51f5dde00-gzip%22	https://finlab.dexignzone.com/xhtml/email-inbox.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/email-inbox.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:51	3868/3868	---M-Z	200	added ('OK')	text/html	etag:%22f1c-5e8c53fcaa600-gzip%22	https://finlab.dexignzone.com/xhtml/page-login.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/page-login.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:51	161293/161293	---M-Z	200	added ('OK')	text/html	etag:%222760d-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/index-2.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/index-2.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:51	128013/128013	---M-Z	200	added ('OK')	text/html	etag:%221f40d-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/banking.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/banking.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:51	141359/141359	---M-Z	200	added ('OK')	text/html	etag:%222282f-5e8c525ec5580-gzip%22	https://finlab.dexignzone.com/xhtml/ticketing.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ticketing.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:52	102891/102891	---M-Z	200	added ('OK')	text/html	etag:%22191eb-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/crypto.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/crypto.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:52	162877/162877	---M-Z	200	added ('OK')	text/html	etag:%2227c3d-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/invoice.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/invoice.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:52	208343/208343	---M-Z	200	added ('OK')	text/html	etag:%2232dd7-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/contact.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/contact.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:52	134873/134873	---M-Z	200	added ('OK')	text/html	etag:%2220ed9-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/kanban.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/kanban.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:53	120110/120110	---M-Z	200	added ('OK')	text/html	etag:%221d52e-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/file-manager.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/file-manager.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:53	96876/96876	---M-Z	200	added ('OK')	text/html	etag:%2217a6c-5e8c525ec5580-gzip%22	https://finlab.dexignzone.com/xhtml/user.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/user.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:53	101051/101051	---M-Z	200	added ('OK')	text/html	etag:%2218abb-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/celandar.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/celandar.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:53	116987/116987	---M-Z	200	added ('OK')	text/html	etag:%221c8fb-5ed0428d0351e-gzip%22	https://finlab.dexignzone.com/xhtml/to-do-list.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/to-do-list.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:53	79076/79076	---M-Z	200	added ('OK')	text/html	etag:%22134e4-5e8c525ec5580-gzip%22	https://finlab.dexignzone.com/xhtml/activity.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/activity.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:54	76879/76879	---M-Z	200	added ('OK')	text/html	etag:%2212c4f-5e8c525af4c80-gzip%22	https://finlab.dexignzone.com/xhtml/edit-profile.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/edit-profile.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:54	86174/86174	---M-Z	200	added ('OK')	text/html	etag:%221509e-5e8c525ec5580-gzip%22	https://finlab.dexignzone.com/xhtml/post-details.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/post-details.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:54	79289/79289	---M-Z	200	added ('OK')	text/html	etag:%22135b9-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/email-compose.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/email-compose.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:54	93271/93271	---M-Z	200	added ('OK')	text/html	etag:%2216c57-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/email-read.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/email-read.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:55	78982/78982	---M-Z	200	added ('OK')	text/html	etag:%2213486-5e8c525ec5580-gzip%22	https://finlab.dexignzone.com/xhtml/app-calender.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/app-calender.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:55	83729/83729	---M-Z	200	added ('OK')	text/html	etag:%2214711-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/ecom-product-grid.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ecom-product-grid.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:55	90703/90703	---M-Z	200	added ('OK')	text/html	etag:%221624f-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/ecom-product-list.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ecom-product-list.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:55	82359/82359	---M-Z	200	added ('OK')	text/html	etag:%22141b7-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/ecom-product-detail.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ecom-product-detail.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:56	114906/114906	---M-Z	200	added ('OK')	text/html	etag:%221c0da-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/ecom-product-order.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ecom-product-order.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:56	88487/88487	---M-Z	200	added ('OK')	text/html	etag:%22159a7-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/ecom-checkout.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ecom-checkout.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:56	80399/80399	---M-Z	200	added ('OK')	text/html	etag:%2213a0f-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/ecom-invoice.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ecom-invoice.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:56	127320/127320	---M-Z	200	added ('OK')	text/html	etag:%221f158-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/ecom-customers.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ecom-customers.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:57	78418/78418	---M-Z	200	added ('OK')	text/html	etag:%2213252-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/chart-flot.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/chart-flot.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:57	76652/76652	---M-Z	200	added ('OK')	text/html	etag:%2212b6c-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/chart-morris.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/chart-morris.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:57	80953/80953	---M-Z	200	added ('OK')	text/html	etag:%2213c39-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/chart-chartjs.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/chart-chartjs.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:57	86337/86337	---M-Z	200	added ('OK')	text/html	etag:%2215141-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/chart-chartist.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/chart-chartist.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:58	78196/78196	---M-Z	200	added ('OK')	text/html	etag:%2213174-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/chart-sparkline.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/chart-sparkline.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:58	86436/86436	---M-Z	200	added ('OK')	text/html	etag:%22151a4-5e8c5260ada00-gzip%22	https://finlab.dexignzone.com/xhtml/chart-peity.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/chart-peity.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:58	162957/162957	---M-Z	200	added ('OK')	text/html	etag:%2227c8d-5e8c525ec5580-gzip%22	https://finlab.dexignzone.com/xhtml/ui-accordion.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ui-accordion.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:58	270294/270294	---M-Z	200	added ('OK')	text/html	etag:%2241fd6-5e8c525ec5580-gzip%22	https://finlab.dexignzone.com/xhtml/ui-alert.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ui-alert.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:59	111840/111840	---M-Z	200	added ('OK')	text/html	etag:%221b4e0-5e8c525ec5580-gzip%22	https://finlab.dexignzone.com/xhtml/ui-badge.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ui-badge.html	(from https://finlab.dexignzone.com/xhtml/index.html)
16:37:59	145294/145294	---M-Z	200	added ('OK')	text/html	etag:%222378e-5e8c525ec5580-gzip%22	https://finlab.dexignzone.com/xhtml/ui-button.html	C:/My%20Web%20Sites/Finlab/finlab.dexignzone.com/xhtml/ui-button.html	(from https://finlab.dexignzone.com/xhtml/index.html)
