date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:49	88329/88329	---M-Z	200	added ('OK')	text/html	etag:%2215909-57ba414c71e40-gzip%22	https://jthemes.net/themes/html/genius-course/index-1.html	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/index-1.html	(from )
15:09:50	274/274	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Jan%202023%2007:09:50%20GMT	https://jthemes.net/robots.txt		(from )
15:09:50	3596/3596	---M-Z	200	added ('OK')	text/css	etag:%22e0c-54e49b16f6500-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/owl.carousel.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/owl.carousel.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:50	46063/46063	---M-Z	200	added ('OK')	text/css	etag:%22b3ef-569a6e56a7480-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/fontawesome-all.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/fontawesome-all.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:51	1912/1912	---M-Z	200	added ('OK')	text/css	etag:%22778-56a968ebddf00-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/flaticon.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/flaticon.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:51	3366/3366	---M-Z	200	added ('OK')	text/css	etag:%22d26-56f4d95ec2780-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/meanmenu.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/meanmenu.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:51	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5631126141f00-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/bootstrap.min.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:52	13671/13671	---M-Z	200	added ('OK')	text/css	etag:%223567-53ba95d658780-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/video.min.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/video.min.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:52	4078/4078	---M-Z	200	added ('OK')	text/css	etag:%22fee-56aa694da4080-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/lightbox.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/lightbox.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:52	37282/37282	---M-Z	200	added ('OK')	text/css	etag:%2291a2-56bac6e9ec880-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/progess.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/progess.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:53	73029/73029	---M-Z	200	added ('OK')	text/css	etag:%2211d45-56dce38409380-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/animate.min.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/animate.min.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:53	126788/126788	---M-Z	200	added ('OK')	text/css	etag:%221ef44-57818b3676800-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/style.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/style.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:53	16519/16519	---M-Z	200	added ('OK')	text/css	etag:%224087-5784f7083f940-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/responsive.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/responsive.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:54	5054/5054	---M-Z	200	added ('OK')	text/css	etag:%2213be-56c530e169680-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/colors/switch.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/colors/switch.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:54	5301/5301	---M-Z	200	added ('OK')	text/css	etag:%2214b5-56c523989bf00-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/colors/color-2.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/colors/color-2.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:54	5286/5286	---M-Z	200	added ('OK')	text/css	etag:%2214a6-56c523b167980-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/colors/color-3.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/colors/color-3.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:55	5425/5425	---M-Z	200	added ('OK')	text/css	etag:%221531-56c5218c16980-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/colors/color-4.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/colors/color-4.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:55	5425/5425	---M-Z	200	added ('OK')	text/css	etag:%221531-56c5225a14f80-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/colors/color-5.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/colors/color-5.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
15:09:55	5425/5425	---M-Z	200	added ('OK')	text/css	etag:%221531-56c522934d680-gzip%22	https://jthemes.net/themes/html/genius-course/assets/css/colors/color-6.css	C:/My%20Web%20Sites/Genius/jthemes.net/themes/html/genius-course/assets/css/colors/color-6.css	(from https://jthemes.net/themes/html/genius-course/index-1.html)
